type,value,description
domain,filev2.getsession.org,Primary exfiltration endpoint via Session/Oxen messenger network
domain,seed1.getsession.org,Session/Oxen P2P seed node for exfiltration
domain,seed2.getsession.org,Session/Oxen P2P seed node for exfiltration
domain,seed3.getsession.org,Session/Oxen P2P seed node for exfiltration
domain,api.masscan.cloud,Secondary C2 / exfiltration domain
domain,git-tanstack.com,Typosquat / phishing domain
domain,litter.catbox.moe,Catbox file hosting used for second-stage payloads
file_hash,ab4fcadaec49c03278063dd269ea5eef82d24f2124a8e15d7b90f2fa8601266c,router_init.js - 2.3 MB obfuscated credential-stealing payload
file_hash,2ec78d556d696e208927cc503d48e4b5eb56b31abc2870c2ed2e98d6be27fc96,tanstack_runner.js - prepare script runner that triggers router_init.js
commit,79ac49eedf774dd4b0cfa308722bc463cfe5885c,Orphan commit in attacker fork used for @tanstack/setup optionalDependency
repository,https://github.com/zblgg/configuration,Attacker fork used for Pwn Request and cache poisoning
pattern,github:tanstack/router#79ac49eedf774dd4b0cfa308722bc463cfe5885c,Malicious optionalDependency pattern injected into package.json
pattern,claude@users.noreply.github.com,Impersonated commit author used for dead-drop commits
pattern,dependabout/,Dead-drop branch name prefix (impersonates Dependabot)
string,IfYouRevokeThisTokenItWillWipeTheComputerOfTheOwner,Campaign string recovered from deobfuscated payload
string,svksjrhjkcejg,Campaign PBKDF2 salt (unique to Mini Shai-Hulud wave; useful for YARA)
string,EveryBoiWeBuildIsAWormyBoi,Internal campaign name recovered from deobfuscated payload
string,OhNoWhatsGoingOnWithGitHub,Magic string used in fallback token recovery via GitHub search
pattern,ctf-scramble-v2,Fisher-Yates PRNG identifier shared across Bitwarden/SAP/TanStack waves
pattern,ctf-scramble-v2,Fisher-Yates PRNG identifier shared across Bitwarden/SAP/TanStack waves
path,.claude/router_runtime.js,Persistence file dropped by payload
path,.claude/setup.mjs,Persistence file dropped by payload
path,.vscode/setup.mjs,Persistence file dropped by payload
path,~/.local/bin/gh-token-monitor.sh,Dead-man's switch script (Linux)
path,~/.config/systemd/user/gh-token-monitor.service,Systemd service for dead-man's switch (Linux)
path,~/Library/LaunchAgents/com.user.gh-token-monitor.plist,LaunchAgent for dead-man's switch (macOS)
path,.github/workflows/codeql_analysis.yml,Injected workflow that exfiltrates secrets via toJSON(secrets)
url,https://litter.catbox.moe/h8nc9u.js,Second-stage payload URL
url,https://litter.catbox.moe/7rrc6l.mjs,Second-stage payload URL
cache_key,Linux-pnpm-store-6f9233a50def742c09fde54f56553d6b449a535adf87d4083690539f49ae4da11,Poisoned GitHub Actions cache key used in attack
workflow_run,25613093674,GitHub Actions run ID for malicious publish wave 1
workflow_run,25691781302,GitHub Actions run ID for malicious publish wave 2
cve,CVE-2026-45321,CVE assigned to the Mini Shai-Hulud supply chain compromise
ghsa,GHSA-g7cv-rxg3-hmpx,GitHub Security Advisory for TanStack npm compromise
